id,Page,Title,Price_Raw,Price_Billion,Price_per_m2,Area_m2,District,Address,Bedrooms,Toilets,Post_Time,Link,Description,Mức độ giao dịch,Mặt tiền,Chiều sâu,Ưu điểm BĐS,Nội thất,Số ban công,Hướng ban công,Tiện ích,Width_m,Is_MatTien,Price_Per_m2
306340795,3,"Bán chung cư Quận 4, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306340795,,,,,,,,,,,0,
306342020,3,"Bán căn hộ chung cư The Gold View Quận 4, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306342020,,,,,,,,,,,0,
306321632,4,"Bán căn hộ chung cư The Gold View Quận 4, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306321632,,,,,,,,,,,0,
306313639,8,"Bán chung cư Quận 4, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306313639,,,,,,,,,,,0,
306272706,14,"Bán chung cư Quận 4, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306272706,,,,,,,,,,,0,
306259422,16,"Bán chung cư Quận 4, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306259422,,,,,,,,,,,0,
306254858,17,"Bán căn hộ chung cư Galaxy 9 Quận 4, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306254858,,,,,,,,,,,0,
306257370,17,"Bán căn hộ chung cư The Gold View Quận 4, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306257370,,,,,,,,,,,0,
306238585,20,"Bán chung cư Quận 4, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-4-ho-chi-minh-i1423/306238585,,,,,,,,,,,0,
306333926,4,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306333926,,,,,,,,,,,0,
306334282,4,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306334282,,,,,,,,,,,0,
306327819,5,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306327819,,,,,,,,,,,0,
306317700,7,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306317700,,,,,,,,,,,0,
306270472,11,"Bán nhà riêng Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306270472,,,,,,,,,,,0,
306240963,18,,,,,,,,,,,https://meeyland.com/ban-nha-rieng-quan-11-ho-chi-minh-i1223/306240963,,,,,,,,,,,0,
306239969,18,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306239969,,,,,,,,,,,0,
306233602,19,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306233602,,,,,,,,,,,0,
306232128,20,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306232128,,,,,,,,,,,0,
306230472,20,"Bán chung cư Quận 11, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-11-ho-chi-minh-i1423/306230472,,,,,,,,,,,0,
306340260,4,"Bán căn hộ chung cư Thuận Kiều Plaza Quận 5, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306340260,,,,,,,,,,,0,
306326307,7,"Bán chung cư Quận 5, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306326307,,,,,,,,,,,0,
306324810,7,"Bán chung cư Quận 5, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306324810,,,,,,,,,,,0,
306317985,9,"Bán chung cư Quận 5, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306317985,,,,,,,,,,,0,
306275332,17,"Bán căn hộ chung cư Tản Đà Court Quận 5, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306275332,,,,,,,,,,,0,
306269097,18,"Bán chung cư Quận 5, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306269097,,,,,,,,,,,0,
306268776,18,"Bán chung cư Quận 5, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-5-ho-chi-minh-i1423/306268776,,,,,,,,,,,0,
306334374,5,"Bán căn hộ chung cư Căn hộ Him Lam Chợ Lớn Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306334374,,,,,,,,,,,0,
306335383,6,"Bán căn hộ chung cư Khu căn hộ Viva Riverside Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306335383,,,,,,,,,,,0,
306336246,6,"Bán căn hộ chung cư Khu căn hộ cao cấp An Phú (An Phú Apartment) Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306336246,,,,,,,,,,,0,
306335231,7,"Bán căn hộ chung cư Khu căn hộ cao cấp An Phú (An Phú Apartment) Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306335231,,,,,,,,,,,0,
306311517,13,"Bán căn hộ chung cư Căn hộ Him Lam Chợ Lớn Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306311517,,,,,,,,,,,0,
306311347,13,"Bán căn hộ chung cư Khu căn hộ cao cấp An Phú (An Phú Apartment) Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306311347,,,,,,,,,,,0,
306310393,13,"Bán căn hộ chung cư Căn hộ Him Lam Chợ Lớn Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306310393,,,,,,,,,,,0,
306297454,16,"Bán căn hộ chung cư D-Homme Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306297454,,,,,,,,,,,0,
306275578,16,"Bán chung cư The Western Capital Quận 6, Hồ Chí Minh 1/2026",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306275578,,,,,,,,,,,0,
306292817,18,"Bán căn hộ chung cư D-Homme Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306292817,,,,,,,,,,,0,
306292814,18,"Bán chung cư Quận 6, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306292814,,,,,,,,,,,0,
306292786,18,"Bán chung cư Quận 6, Hồ Chí Minh giá rẻ (1/2026)",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306292786,,,,,,,,,,,0,
306290978,19,"Bán căn hộ chung cư Khu căn hộ cao cấp An Phú (An Phú Apartment) Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306290978,,,,,,,,,,,0,
306280605,20,"Bán căn hộ chung cư D-Homme Quận 6, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-can-ho-chung-cu-quan-6-ho-chi-minh-i1423/306280605,,,,,,,,,,,0,
306348110,1,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306348110,,,,,,,,,,,0,
306332773,1,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306332773,,,,,,,,,,,0,
306318985,3,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306318985,,,,,,,,,,,0,
306311094,3,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306311094,,,,,,,,,,,0,
306310000,3,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306310000,,,,,,,,,,,0,
306298785,4,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306298785,,,,,,,,,,,0,
306291949,4,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306291949,,,,,,,,,,,0,
306268191,5,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306268191,,,,,,,,,,,0,
306282759,5,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306282759,,,,,,,,,,,0,
306278004,5,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306278004,,,,,,,,,,,0,
306278368,5,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306278368,,,,,,,,,,,0,
306275632,5,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306275632,,,,,,,,,,,0,
306271324,6,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306271324,,,,,,,,,,,0,
306229400,7,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306229400,,,,,,,,,,,0,
306246633,8,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306246633,,,,,,,,,,,0,
306222109,8,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306222109,,,,,,,,,,,0,
306197941,11,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306197941,,,,,,,,,,,0,
306162125,12,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306162125,,,,,,,,,,,0,
306158640,12,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306158640,,,,,,,,,,,0,
306178087,12,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306178087,,,,,,,,,,,0,
306141136,13,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306141136,,,,,,,,,,,0,
306166641,13,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306166641,,,,,,,,,,,0,
306136487,13,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306136487,,,,,,,,,,,0,
306148882,14,"Bán biệt thự liền kề Vinhomes Green Paradise Cần Giờ, Hồ Chí Minh",,,,,,,,,,https://meeyland.com/ban-biet-thu-lien-ke-can-gio-ho-chi-minh-i1423/306148882,,,,,,,,,,,0,
